symbol,direction,opened_at_utc,closed_at_utc,hold_duration_minutes,close_reason,planned_entry_price,actual_entry_price,entry_slippage_usd,planned_exit_price,actual_exit_price,exit_slippage_usd,contract_quantity,notional_position_usd,exchange_fees_paid,idealized_pnl_usd,realized_binance_pnl,total_friction_loss_usd,net_wallet_delta_usd,entry_order_id,exit_order_id,notes
ETHUSDT,LONG,2026-09-13T00:15:17.439000+00:00,2026-09-13T03:00:51.037000+00:00,165.6,SIGNAL_FLIP,2525.01,2525.01,0.0,2519.58,2519.58,0.0,0.008,20.2,0.4031,-0.0434,-2.1442,2.1007,-2.5473,16792776841,16792864254,Direct Binance Execution (SIGNAL_FLIP) via Order 16792864254
SOLUSDT,SHORT,2026-09-13T04:15:14.436000+00:00,2026-09-13T04:16:13.575000+00:00,1.0,SIGNAL_FLIP,101.61,101.61,-0.0,101.91,101.91,-0.0,7.3,741.75,0.5943,-2.19,-2.19,0.0,-2.7843,4202369669,4202370193,Direct Binance Execution (SIGNAL_FLIP) via Order 4202370193
XRPUSDT,LONG,2026-09-13T00:00:22.082000+00:00,2026-09-13T06:54:06.084000+00:00,413.7,SIGNAL_FLIP,1.3657,1.3657,0.0,1.3615,1.3615,0.0,732.2,999.97,0.5987,-3.0752,-3.0752,0.0,-3.674,3500944705,3501103163,Direct Binance Execution (SIGNAL_FLIP) via Order 3501103163
ETHUSDT,LONG,2026-09-13T00:15:17.439000+00:00,2026-09-13T22:30:23.711000+00:00,1335.1,SIGNAL_FLIP,2525.01,2525.01,0.0,2479.7,2479.7,0.0,0.008,20.2,0.1191,-0.3625,-5.2542,4.8917,-5.3733,16792776841,16793613976,Direct Binance Execution (SIGNAL_FLIP) via Order 16793613976
DOGEUSDT,SHORT,2026-09-14T12:15:11.283000+00:00,2026-09-14T12:45:11.879000+00:00,30.0,SIGNAL_FLIP,0.08407,0.08415,0.9487,0.0841,0.0841,-0.0,11859.0,997.93,0.7981,-0.3558,0.5929,-0.9487,-0.2052,2343028799,2343043272,Direct Binance Execution (SIGNAL_FLIP) via Order 2343043272
SOLUSDT,SHORT,2026-09-14T13:30:48.568000+00:00,2026-09-14T15:15:13.683000+00:00,104.4,SIGNAL_FLIP,101.34,101.34,-0.0,101.73,101.73,-0.0,9.83,996.17,0.5992,-3.8337,-3.8337,-0.0,-4.4329,4203530633,4203603941,Direct Binance Execution (SIGNAL_FLIP) via Order 4203603941
DOGEUSDT,SHORT,2026-09-14T13:47:26.144000+00:00,2026-09-14T16:30:10.277000+00:00,162.7,SIGNAL_FLIP,0.08409,0.08409,-0.0,0.08426,0.08426,-0.0,11856.0,996.97,0.599,-2.0155,-2.0155,-0.0,-2.6145,2343051895,2343164503,Direct Binance Execution (SIGNAL_FLIP) via Order 2343164503
BTCUSDT,SHORT,2026-09-15T19:00:10.285000+00:00,2026-09-15T19:05:57.722000+00:00,5.8,SIGNAL_FLIP,75969.5,75983.0,0.1768,76798.0,76798.0,-0.0,0.0131,995.38,0.8006,-10.8534,-10.6765,-0.1768,-11.4771,28586931394,28586934934,Direct Binance Execution (SIGNAL_FLIP) via Order 28586934934
SOLUSDT,SHORT,2026-09-16T06:15:16.573000+00:00,2026-09-16T06:30:12.557000+00:00,14.9,SIGNAL_FLIP,97.09,97.09,-0.0,97.26,97.26,-0.0,0.16,15.53,0.0043,-0.0272,-0.0029,-0.0243,-0.0072,4204971731,4204979586,Direct Binance Execution (SIGNAL_FLIP) via Order 4204979586
SOLUSDT,SHORT,2026-09-16T06:15:16.573000+00:00,2026-09-16T06:30:12.557000+00:00,14.9,SIGNAL_FLIP,97.09,97.09,-0.0,97.27,97.27,-0.0,0.16,15.53,0.3249,-0.0288,-0.8865,0.8577,-1.2114,4204971731,4204979586,Direct Binance Execution (SIGNAL_FLIP) via Order 4204979586
SOLUSDT,SHORT,2026-09-16T06:15:16.573000+00:00,2026-09-16T06:30:12.557000+00:00,14.9,SIGNAL_FLIP,97.09,97.09,-0.0,97.26,97.26,-0.0,0.16,15.53,0.0054,-0.0272,-0.0058,-0.0214,-0.0113,4204971731,4204979586,Direct Binance Execution (SIGNAL_FLIP) via Order 4204979586
SOLUSDT,SHORT,2026-09-16T06:15:16.573000+00:00,2026-09-16T06:30:12.557000+00:00,14.9,SIGNAL_FLIP,97.09,97.09,-0.0,97.26,97.26,-0.0,0.16,15.53,0.0759,-0.0272,-0.1818,0.1546,-0.2576,4204971731,4204979586,Direct Binance Execution (SIGNAL_FLIP) via Order 4204979586
SOLUSDT,SHORT,2026-09-16T06:45:22.220000+00:00,2026-09-16T07:00:08.063000+00:00,14.8,SIGNAL_FLIP,96.99,96.99,-0.0,97.3,97.3,-0.0,9.7,940.8,0.5863,-3.007,-3.1713,0.1643,-3.7576,4204989028,4204998430,Direct Binance Execution (SIGNAL_FLIP) via Order 4204998430
ETHUSDT,SHORT,2026-09-16T07:00:13.422000+00:00,2026-09-16T07:01:19.035000+00:00,1.1,SIGNAL_FLIP,2397.08,2404.85,4.2813,2406.64,2406.64,-0.0,0.551,1325.07,1.0605,-5.2676,-0.9863,-4.2813,-2.0467,16795929781,16795930501,Direct Binance Execution (SIGNAL_FLIP) via Order 16795930501
