symbol,direction,opened_at,closed_at,entry_price,exit_price,quantity,realized_binance_pnl,exchange_fees_paid,net_realized_pnl,hold_duration_minutes,close_reason,exit_order_id,notes
ETHUSDT,LONG,2026-09-13T00:15:17.439Z,2026-09-13T03:00:51.037Z,2525.01,2519.58,0.008,-2.1442,0.4031,-2.5473,165.6,SL_HIT,16792864254,Direct Binance execution: SL_HIT via Order 16792864254
SOLUSDT,SHORT,2026-09-13T04:15:14.436Z,2026-09-13T04:16:13.575Z,101.61,101.91,7.3,-2.19,0.5943,-2.7843,1.0,SL_HIT,4202370193,Direct Binance execution: SL_HIT via Order 4202370193
XRPUSDT,LONG,2026-09-13T00:00:22.082Z,2026-09-13T06:54:06.084Z,1.3657,1.3615,732.2,-3.0752,0.5987,-3.674,413.7,SL_HIT,3501103163,Direct Binance execution: SL_HIT via Order 3501103163
ETHUSDT,LONG,2026-09-13T00:15:17.439Z,2026-09-13T22:30:23.711Z,2525.01,2479.7,0.008,-5.2542,0.1191,-5.3733,1335.1,SL_HIT,16793613976,Direct Binance execution: SL_HIT via Order 16793613976
DOGEUSDT,SHORT,2026-09-14T12:15:11.283Z,2026-09-14T12:45:11.879Z,0.08415,0.0841,11859.0,0.5929,0.7981,-0.2052,30.0,TP_HIT,2343043272,Direct Binance execution: TP_HIT via Order 2343043272
SOLUSDT,SHORT,2026-09-14T13:30:48.568Z,2026-09-14T15:15:13.683Z,101.34,101.73,9.83,-3.8337,0.5992,-4.4329,104.4,SL_HIT,4203603941,Direct Binance execution: SL_HIT via Order 4203603941
DOGEUSDT,SHORT,2026-09-14T13:47:26.144Z,2026-09-14T16:30:10.277Z,0.08409,0.08426,11856.0,-2.0155,0.599,-2.6145,162.7,SL_HIT,2343164503,Direct Binance execution: SL_HIT via Order 2343164503
BTCUSDT,SHORT,2026-09-15T19:00:10.285Z,2026-09-15T19:05:57.722Z,75983.0,76798.0,0.0131,-10.6765,0.8006,-11.4771,5.8,SL_HIT,28586934934,Direct Binance execution: SL_HIT via Order 28586934934
SOLUSDT,SHORT,2026-09-16T06:15:16.573Z,2026-09-16T06:30:12.557Z,97.09,97.27,0.16,-0.8865,0.3249,-1.2114,14.9,SL_HIT,4204979586,Direct Binance execution: SL_HIT via Order 4204979586
SOLUSDT,SHORT,2026-09-16T06:15:16.573Z,2026-09-16T06:30:12.557Z,97.09,97.26,0.16,-0.0029,0.0043,-0.0072,14.9,SIGNAL_FLIP,4204979586,Direct Binance execution: SIGNAL_FLIP via Order 4204979586
SOLUSDT,SHORT,2026-09-16T06:15:16.573Z,2026-09-16T06:30:12.557Z,97.09,97.26,0.16,-0.1818,0.0759,-0.2576,14.9,SL_HIT,4204979586,Direct Binance execution: SL_HIT via Order 4204979586
SOLUSDT,SHORT,2026-09-16T06:15:16.573Z,2026-09-16T06:30:12.557Z,97.09,97.26,0.16,-0.0058,0.0054,-0.0113,14.9,SIGNAL_FLIP,4204979586,Direct Binance execution: SIGNAL_FLIP via Order 4204979586
SOLUSDT,SHORT,2026-09-16T06:45:22.220Z,2026-09-16T07:00:08.063Z,96.99,97.3,9.7,-3.1713,0.5863,-3.7576,14.8,SL_HIT,4204998430,Direct Binance execution: SL_HIT via Order 4204998430
ETHUSDT,SHORT,2026-09-16T07:00:13.422Z,2026-09-16T07:01:19.035Z,2404.85,2406.64,0.551,-0.9863,1.0605,-2.0467,1.1,SL_HIT,16795930501,Direct Binance execution: SL_HIT via Order 16795930501
DOGEUSDT,SHORT,2026-09-16T07:00:09.831Z,2026-09-16T07:03:32.405Z,0.0802,0.08034,12407.0,-1.737,0.7967,-2.5337,3.4,SL_HIT,2344356032,Direct Binance execution: SL_HIT via Order 2344356032
ETHUSDT,SHORT,2026-09-16T07:39:51.313Z,2026-09-16T09:45:11.855Z,2399.81,2403.39,0.413,-1.4785,0.5953,-2.0738,125.3,SL_HIT,16796019059,Direct Binance execution: SL_HIT via Order 16796019059
BTCUSDT,SHORT,2026-09-16T08:05:20.265Z,2026-09-16T10:02:31.978Z,75773.1,75996.2,0.013,-2.9003,0.5922,-3.4925,117.2,SL_HIT,28587587462,Direct Binance execution: SL_HIT via Order 28587587462
DOGEUSDT,SHORT,2026-09-16T07:15:10.532Z,2026-09-16T11:15:09.205Z,0.07999,0.07989,12392.0,1.2392,0.7925,0.4467,240.0,TP_HIT,2344481852,Direct Binance execution: TP_HIT via Order 2344481852
ETHUSDT,SHORT,2026-09-16T13:45:24.380Z,2026-09-16T14:00:12.379Z,2398.16,2393.11,0.071,2.089,0.4294,1.6596,14.8,TP_HIT,16796164575,Direct Binance execution: TP_HIT via Order 16796164575
DOGEUSDT,SHORT,2026-09-16T13:00:10.650Z,2026-09-16T18:06:08.011Z,0.07931,0.07998,12487.0,-8.3663,0.7956,-9.1619,306.0,SL_HIT,2344710762,Direct Binance execution: SL_HIT via Order 2344710762
BTCUSDT,SHORT,2026-09-16T13:45:10.245Z,2026-09-16T18:10:37.654Z,75754.3,76100.0,0.013,-4.4941,0.7896,-5.2837,265.5,SL_HIT,28587951299,Direct Binance execution: SL_HIT via Order 28587951299
BTCUSDT,SHORT,2026-09-16T19:45:09.416Z,2026-09-16T19:46:43.979Z,75847.0,75982.4,0.013,-1.7602,0.7895,-2.5497,1.6,SL_HIT,28588036646,Direct Binance execution: SL_HIT via Order 28588036646
SOLUSDT,SHORT,2026-09-16T23:00:18.018Z,2026-09-16T23:15:12.516Z,97.45,97.7,10.13,-2.5325,0.7907,-3.3232,14.9,SL_HIT,4205574251,Direct Binance execution: SL_HIT via Order 4205574251
ETHUSDT,SHORT,2026-09-16T23:09:26.093Z,2026-09-16T23:20:56.842Z,2396.72,2409.49,0.412,-5.2612,0.5946,-5.8558,11.5,SL_HIT,16796477531,Direct Binance execution: SL_HIT via Order 16796477531
SOLUSDT,SHORT,2026-09-16T23:15:17.466Z,2026-09-16T23:23:26.610Z,97.69,98.35,4.21,-7.0026,0.5626,-7.5652,8.2,SL_HIT,4205579214,Direct Binance execution: SL_HIT via Order 4205579214
BTCUSDT,SHORT,2026-09-16T22:45:08.992Z,2026-09-16T23:40:11.447Z,75726.1,76093.1,0.011,-4.771,0.7289,-5.4999,55.0,SL_HIT,28588189338,Direct Binance execution: SL_HIT via Order 28588189338
XRPUSDT,SHORT,2026-09-17T05:45:21.662Z,2026-09-17T06:45:12.801Z,1.2948,1.3017,741.2,-5.2364,0.5871,-5.8235,59.9,SL_HIT,3503832804,Direct Binance execution: SL_HIT via Order 3503832804
BTCUSDT,SHORT,2026-09-17T10:45:22.999Z,2026-09-17T12:12:15.063Z,76329.3,76598.8,0.0114,-3.4496,0.5662,-4.0158,86.9,SL_HIT,28588647622,Direct Binance execution: SL_HIT via Order 28588647622
BTCUSDT,SHORT,2026-09-17T15:30:15.515Z,2026-09-17T15:40:39.062Z,76414.4,76677.6,0.0128,-3.369,0.7838,-4.1528,10.4,SL_HIT,28588786140,Direct Binance execution: SL_HIT via Order 28588786140
SOLUSDT,LONG,2026-09-17T20:31:06.691Z,2026-09-17T22:30:13.029Z,101.29,100.78,0.03,-4.9317,0.3904,-5.3221,119.1,SL_HIT,4206174017,Direct Binance execution: SL_HIT via Order 4206174017
DOGEUSDT,LONG,2026-09-18T00:15:10.380Z,2026-09-18T00:22:13.066Z,0.0816,0.08147,11969.0,-1.556,0.7807,-2.3367,7.0,SL_HIT,2345622863,Direct Binance execution: SL_HIT via Order 2345622863
XRPUSDT,SHORT,2026-09-17T18:00:14.344Z,2026-09-18T01:00:13.300Z,1.2999,1.3001,753.8,-0.1508,0.784,-0.9347,420.0,SL_HIT,3504310375,Direct Binance execution: SL_HIT via Order 3504310375
SOLUSDT,LONG,2026-09-17T22:45:14.680Z,2026-09-18T01:51:09.083Z,101.4,102.57,9.65,11.2905,0.7873,10.5032,185.9,TP_HIT,4206257840,Direct Binance execution: TP_HIT via Order 4206257840
